iter	Passed	Remaining
0	2	212
1	3	186
2	5	172
3	6	154
4	8	154
5	9	150
6	11	146
7	12	143
8	14	144
9	15	142
10	17	138
11	18	137
12	20	139
13	22	136
14	23	133
15	25	132
16	26	131
17	27	127
18	29	124
19	29	119
20	31	117
21	32	116
22	34	114
23	35	113
24	37	111
25	38	108
26	38	104
27	39	101
28	40	99
29	41	97
30	42	94
31	43	92
32	44	90
33	45	89
34	47	87
35	48	85
36	49	83
37	49	81
38	50	78
39	51	76
40	51	74
41	52	71
42	52	69
43	53	67
44	53	65
45	54	64
46	55	62
47	55	60
48	56	58
49	56	56
50	57	54
51	57	53
52	58	51
53	58	50
54	59	48
55	59	46
56	60	45
57	60	43
58	61	42
59	61	41
60	62	39
61	62	38
62	63	37
63	64	36
64	64	34
65	65	33
66	65	32
67	66	31
68	67	30
69	67	28
70	68	27
71	68	26
72	69	25
73	69	24
74	70	23
75	70	22
76	71	21
77	71	20
78	72	19
79	72	18
80	73	17
81	73	16
82	74	15
83	74	14
84	75	13
85	75	12
86	76	11
87	76	10
88	77	9
89	77	8
90	78	7
91	78	6
92	79	5
93	79	5
94	80	4
95	80	3
96	81	2
97	81	1
98	82	0
99	82	0
